ano,regiao,uf,nome_municipio,localizacao,depend_administrativa,percent_fundamental_nivel1,percent_fundamental_nivel2,percent_fundamental_nivel3,percent_fundamental_nivel4,percent_fundamental_nivel5,percent_fundamental_nivel6,percent_medio_nivel1,percent_medio_nivel2,percent_medio_nivel3,percent_medio_nivel4,percent_medio_nivel5,percent_medio_nivel6
2021,Norte,RO,Espigão D'Oeste,Urbana,Publica,22.6,8.3,35.8,29.2,3.3,0.8,0.0,7.0,23.6,56.9,8.3,4.2
2021,Norte,RO,Espigão D'Oeste,Rural,Publica,46.5,19.6,10.7,19.6,0.0,3.6,0.0,0.0,0.0,78.6,14.3,7.1
2021,Norte,RO,Guajará-Mirim,Urbana,Federal,,,,,,,0.0,43.9,26.8,29.3,0.0,0.0
2021,Norte,RO,Guajará-Mirim,Urbana,Estadual,10.9,6.5,30.4,35.9,14.1,2.2,3.7,12.3,23.5,51.9,4.9,3.7
2021,Norte,RO,Guajará-Mirim,Rural,Estadual,37.8,17.9,43.4,0.9,0.0,0.0,0.0,3.6,0.0,78.6,10.7,7.1
2021,Norte,RO,Guajará-Mirim,Urbana,Municipal,40.0,40.0,11.4,7.6,1.0,0.0,,,,,,
2021,Norte,RO,Guajará-Mirim,Urbana,Privada,31.7,11.7,28.3,23.3,5.0,0.0,17.7,0.0,0.0,58.8,23.5,0.0
2021,Norte,RO,Guajará-Mirim,Urbana,Publica,26.9,24.7,20.1,20.1,7.2,1.0,2.3,23.0,24.6,44.3,3.3,2.5
2021,Norte,RO,Guajará-Mirim,Rural,Publica,37.8,17.9,43.4,0.9,0.0,0.0,0.0,3.6,0.0,78.6,10.7,7.1
2021,Norte,RO,Jaru,Urbana,Federal,,,,,,,0.0,25.0,71.4,3.6,0.0,0.0
2021,Norte,RO,Jaru,Urbana,Estadual,6.0,4.1,17.6,54.7,14.2,3.4,0.0,2.8,13.8,63.4,13.8,6.2
2021,Norte,RO,Jaru,Rural,Estadual,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021,Norte,RO,Jaru,Urbana,Municipal,24.1,30.8,37.5,1.7,4.2,1.7,,,,,,
2021,Norte,RO,Jaru,Rural,Municipal,28.6,0.0,20.0,40.0,0.0,11.4,,,,,,
2021,Norte,RO,Jaru,Urbana,Privada,36.3,9.1,31.8,18.2,2.3,2.3,10.0,0.0,70.0,10.0,10.0,0.0
2021,Norte,RO,Jaru,Rural,Privada,,,,,,,0.0,100.0,0.0,0.0,0.0,0.0
2021,Norte,RO,Jaru,Urbana,Publica,14.5,16.4,27.1,31.7,8.0,2.3,0.0,6.3,23.1,53.8,11.6,5.2
2021,Norte,RO,Jaru,Rural,Publica,30.6,0.0,19.4,38.9,0.0,11.1,,,,,,
2021,Norte,RO,Ji-Paraná,Urbana,Federal,,,,,,,0.0,26.3,71.9,1.8,0.0,0.0
2021,Norte,RO,Ji-Paraná,Urbana,Estadual,18.7,15.7,18.0,34.0,8.9,4.7,0.4,4.2,18.0,52.1,16.9,8.4
