ano,regiao,uf,cod_municipio,nome_municipio,localizacao,depend_administrativa,percent_infantil,percent_fundamental,percent_medio,percent_educ_profissional,percent_eja,percent_educ_especial
2021,Norte,RO,1100338,Nova Mamoré,Urbana,Municipal,96.4,87.7,,,100.0,
2021,Norte,RO,1100338,Nova Mamoré,Urbana,Privada,66.7,83.3,,,100.0,
2021,Norte,RO,1100338,Nova Mamoré,Urbana,Publica,96.4,93.7,100.0,,100.0,
2021,Norte,RO,1100338,Nova Mamoré,Rural,Estadual,,10.5,,,,
2021,Norte,RO,1100338,Nova Mamoré,Rural,Municipal,78.9,83.5,,,,
2021,Norte,RO,1100338,Nova Mamoré,Rural,Publica,78.9,70.2,,,,
2021,Norte,RO,1100346,Alvorada D'Oeste,Urbana,Estadual,,100.0,100.0,,93.3,
2021,Norte,RO,1100346,Alvorada D'Oeste,Urbana,Municipal,95.0,100.0,,,,
2021,Norte,RO,1100346,Alvorada D'Oeste,Urbana,Publica,95.0,100.0,100.0,,93.3,
2021,Norte,RO,1100346,Alvorada D'Oeste,Rural,Municipal,100.0,96.4,,,,
2021,Norte,RO,1100346,Alvorada D'Oeste,Rural,Publica,100.0,96.4,,,,
2021,Norte,RO,1100379,Alto Alegre dos Parecis,Urbana,Estadual,,100.0,100.0,,94.4,
2021,Norte,RO,1100379,Alto Alegre dos Parecis,Urbana,Municipal,100.0,100.0,,,,
2021,Norte,RO,1100379,Alto Alegre dos Parecis,Urbana,Publica,100.0,100.0,100.0,,94.4,
2021,Norte,RO,1100379,Alto Alegre dos Parecis,Rural,Estadual,,0.0,,,,
2021,Norte,RO,1100379,Alto Alegre dos Parecis,Rural,Municipal,100.0,100.0,,,,
2021,Norte,RO,1100379,Alto Alegre dos Parecis,Rural,Publica,100.0,98.5,,,,
2021,Norte,RO,1100403,Alto Paraíso,Urbana,Estadual,,96.9,95.2,,90.0,
2021,Norte,RO,1100403,Alto Paraíso,Urbana,Municipal,83.3,100.0,,,100.0,
2021,Norte,RO,1100403,Alto Paraíso,Urbana,Privada,100.0,100.0,,,,
2021,Norte,RO,1100403,Alto Paraíso,Urbana,Publica,83.3,97.8,95.2,,94.4,
2021,Norte,RO,1100403,Alto Paraíso,Rural,Municipal,83.3,96.3,,,,
2021,Norte,RO,1100403,Alto Paraíso,Rural,Publica,83.3,96.3,,,,
2021,Norte,RO,1100452,Buritis,Urbana,Estadual,,99.0,99.2,,100.0,
2021,Norte,RO,1100452,Buritis,Urbana,Municipal,93.1,100.0,,,100.0,
2021,Norte,RO,1100452,Buritis,Urbana,Privada,100.0,87.5,,,,60.0
2021,Norte,RO,1100452,Buritis,Urbana,Publica,93.1,99.4,99.2,,100.0,
2021,Norte,RO,1100452,Buritis,Rural,Municipal,100.0,100.0,,,,
2021,Norte,RO,1100452,Buritis,Rural,Publica,100.0,100.0,,,,
2021,Norte,RO,1100502,Novo Horizonte do Oeste,Urbana,Estadual,,100.0,98.3,,100.0,
2021,Norte,RO,1100502,Novo Horizonte do Oeste,Urbana,Municipal,86.7,96.6,,,,
2021,Norte,RO,1100502,Novo Horizonte do Oeste,Urbana,Publica,86.7,98.5,98.3,,100.0,
2021,Norte,RO,1100502,Novo Horizonte do Oeste,Rural,Privada,,,100.0,,,
2021,Norte,RO,1100601,Cacaulândia,Urbana,Estadual,,100.0,100.0,,100.0,
2021,Norte,RO,1100601,Cacaulândia,Urbana,Municipal,100.0,100.0,,,,
2021,Norte,RO,1100601,Cacaulândia,Urbana,Publica,100.0,100.0,100.0,,100.0,
2021,Norte,RO,1100601,Cacaulândia,Rural,Municipal,100.0,100.0,,,,
2021,Norte,RO,1100601,Cacaulândia,Rural,Publica,100.0,100.0,,,,
2021,Norte,RO,1100700,Campo Novo de Rondônia,Urbana,Estadual,,100.0,100.0,,100.0,
2021,Norte,RO,1100700,Campo Novo de Rondônia,Urbana,Municipal,100.0,95.0,,,,
2021,Norte,RO,1100700,Campo Novo de Rondônia,Urbana,Publica,100.0,97.5,100.0,,100.0,
2021,Norte,RO,1100700,Campo Novo de Rondônia,Rural,Estadual,,100.0,100.0,,,
2021,Norte,RO,1100700,Campo Novo de Rondônia,Rural,Municipal,85.7,100.0,,,,
2021,Norte,RO,1100700,Campo Novo de Rondônia,Rural,Publica,85.7,100.0,100.0,,,
2021,Norte,RO,1100809,Candeias do Jamari,Urbana,Estadual,,98.6,97.6,,97.4,
2021,Norte,RO,1100809,Candeias do Jamari,Urbana,Municipal,100.0,97.6,,,100.0,
2021,Norte,RO,1100809,Candeias do Jamari,Urbana,Privada,,,,,,100.0
2021,Norte,RO,1100809,Candeias do Jamari,Urbana,Publica,100.0,98.3,97.6,,97.7,
2021,Norte,RO,1100809,Candeias do Jamari,Rural,Estadual,,20.0,25.0,,,
2021,Norte,RO,1100809,Candeias do Jamari,Rural,Municipal,88.9,97.2,,,,
2021,Norte,RO,1100809,Candeias do Jamari,Rural,Publica,88.9,87.8,25.0,,,
2021,Norte,RO,1100908,Castanheiras,Urbana,Estadual,,100.0,100.0,,,
2021,Norte,RO,1100908,Castanheiras,Urbana,Publica,,100.0,100.0,,,
2021,Norte,RO,1100908,Castanheiras,Rural,Municipal,100.0,92.6,,,,
2021,Norte,RO,1100908,Castanheiras,Rural,Publica,100.0,92.6,,,,
2021,Norte,RO,1100924,Chupinguaia,Urbana,Estadual,,100.0,100.0,,,
2021,Norte,RO,1100924,Chupinguaia,Urbana,Municipal,23.1,96.3,,,,
2021,Norte,RO,1100924,Chupinguaia,Urbana,Publica,23.1,98.1,100.0,,,
2021,Norte,RO,1100924,Chupinguaia,Rural,Estadual,,76.2,96.6,,,
2021,Norte,RO,1100924,Chupinguaia,Rural,Municipal,83.3,78.6,,,,
