ANO,REGIAO,SIGLA_UF,COD_MUNICIPIO,NOME_MUNICIPIO,LOCALIZACAO,DEPEND_ADMINISTRATIVA,BAIXA_REGULARIDADE,BAIXA-MEDIA,MEDIA-ALTA,ALTA
2020,Norte,RO,1100205,Porto Velho,Rural,Estadual,0.0,33.3,33.3,33.4
2020,Norte,RO,1100205,Porto Velho,Urbana,Municipal,0.0,11.3,70.0,18.7
2020,Norte,RO,1100205,Porto Velho,Rural,Municipal,5.6,14.8,50.0,29.6
2020,Norte,RO,1100205,Porto Velho,Urbana,Privada,18.4,16.3,51.0,14.3
2020,Norte,RO,1100205,Porto Velho,Rural,Privada,0.0,0.0,100.0,0.0
2020,Norte,RO,1100205,Porto Velho,Urbana,Pública,0.7,13.8,73.8,11.7
2020,Norte,RO,1100205,Porto Velho,Rural,Pública,4.2,19.4,45.8,30.6
2020,Norte,RO,1100254,Presidente Médici,Urbana,Estadual,0.0,14.3,71.4,14.3
2020,Norte,RO,1100254,Presidente Médici,Rural,Estadual,0.0,0.0,100.0,0.0
2020,Norte,RO,1100254,Presidente Médici,Urbana,Municipal,0.0,0.0,100.0,0.0
2020,Norte,RO,1100254,Presidente Médici,Rural,Municipal,40.0,40.0,20.0,0.0
2020,Norte,RO,1100254,Presidente Médici,Urbana,Privada,0.0,100.0,0.0,0.0
2020,Norte,RO,1100254,Presidente Médici,Urbana,Pública,0.0,9.1,81.8,9.1
2020,Norte,RO,1100254,Presidente Médici,Rural,Pública,33.3,33.3,33.4,0.0
2020,Norte,RO,1100262,Rio Crespo,Urbana,Estadual,0.0,0.0,0.0,100.0
2020,Norte,RO,1100262,Rio Crespo,Urbana,Municipal,0.0,50.0,50.0,0.0
2020,Norte,RO,1100262,Rio Crespo,Urbana,Pública,0.0,33.3,33.3,33.4
2020,Norte,RO,1100288,Rolim de Moura,Urbana,Estadual,0.0,58.3,41.7,0.0
2020,Norte,RO,1100288,Rolim de Moura,Urbana,Municipal,0.0,14.3,71.4,14.3
2020,Norte,RO,1100288,Rolim de Moura,Rural,Municipal,0.0,0.0,100.0,0.0
2020,Norte,RO,1100288,Rolim de Moura,Urbana,Privada,33.3,0.0,66.7,0.0
2020,Norte,RO,1100288,Rolim de Moura,Urbana,Pública,0.0,42.1,52.6,5.3
2020,Norte,RO,1100288,Rolim de Moura,Rural,Pública,0.0,0.0,100.0,0.0
2020,Norte,RO,1100296,Santa Luzia D'Oeste,Urbana,Estadual,0.0,0.0,100.0,0.0
2020,Norte,RO,1100296,Santa Luzia D'Oeste,Urbana,Municipal,0.0,0.0,100.0,0.0
2020,Norte,RO,1100296,Santa Luzia D'Oeste,Urbana,Pública,0.0,0.0,100.0,0.0
2020,Norte,RO,1100304,Vilhena,Urbana,Federal,0.0,0.0,100.0,0.0
2020,Norte,RO,1100304,Vilhena,Urbana,Estadual,8.3,25.0,66.7,0.0
2020,Norte,RO,1100304,Vilhena,Rural,Estadual,0.0,66.7,0.0,33.3
2020,Norte,RO,1100304,Vilhena,Urbana,Municipal,4.3,8.7,65.2,21.8
2020,Norte,RO,1100304,Vilhena,Rural,Municipal,25.0,0.0,50.0,25.0
2020,Norte,RO,1100304,Vilhena,Urbana,Privada,18.2,18.2,54.5,9.1
2020,Norte,RO,1100304,Vilhena,Urbana,Pública,5.6,13.9,66.7,13.8
2020,Norte,RO,1100304,Vilhena,Rural,Pública,14.3,28.6,28.6,28.5
2020,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Estadual,0.0,33.3,66.7,0.0
2020,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Municipal,0.0,25.0,75.0,0.0
2020,Norte,RO,1100320,São Miguel do Guaporé,Rural,Municipal,0.0,44.4,44.4,11.2
2020,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Pública,0.0,28.6,71.4,0.0
2020,Norte,RO,1100320,São Miguel do Guaporé,Rural,Pública,0.0,44.4,44.4,11.2
2020,Norte,RO,1100338,Nova Mamoré,Urbana,Estadual,0.0,20.0,80.0,0.0
2020,Norte,RO,1100338,Nova Mamoré,Rural,Estadual,0.0,75.0,25.0,0.0
2020,Norte,RO,1100338,Nova Mamoré,Urbana,Municipal,14.3,14.3,42.9,28.5
2020,Norte,RO,1100338,Nova Mamoré,Rural,Municipal,37.5,20.0,22.5,20.0
2020,Norte,RO,1100338,Nova Mamoré,Urbana,Privada,33.3,33.3,33.4,0.0
2020,Norte,RO,1100338,Nova Mamoré,Urbana,Pública,8.3,16.7,58.3,16.7
2020,Norte,RO,1100338,Nova Mamoré,Rural,Pública,34.1,25.0,22.7,18.2
2020,Norte,RO,1100346,Alvorada D'Oeste,Urbana,Estadual,0.0,0.0,75.0,25.0
2020,Norte,RO,1100346,Alvorada D'Oeste,Urbana,Municipal,0.0,42.9,57.1,0.0
2020,Norte,RO,1100346,Alvorada D'Oeste,Rural,Municipal,0.0,33.3,66.7,0.0
2020,Norte,RO,1100346,Alvorada D'Oeste,Urbana,Privada,100.0,0.0,0.0,0.0
2020,Norte,RO,1100346,Alvorada D'Oeste,Urbana,Pública,0.0,27.3,63.6,9.1
2020,Norte,RO,1100346,Alvorada D'Oeste,Rural,Pública,0.0,33.3,66.7,0.0
2020,Norte,RO,1100379,Alto Alegre dos Parecis,Urbana,Estadual,0.0,0.0,100.0,0.0
2020,Norte,RO,1100379,Alto Alegre dos Parecis,Rural,Estadual,0.0,0.0,0.0,100.0
2020,Norte,RO,1100379,Alto Alegre dos Parecis,Urbana,Municipal,0.0,75.0,25.0,0.0
2020,Norte,RO,1100379,Alto Alegre dos Parecis,Rural,Municipal,0.0,40.0,60.0,0.0
2020,Norte,RO,1100379,Alto Alegre dos Parecis,Urbana,Privada,100.0,0.0,0.0,0.0
2020,Norte,RO,1100379,Alto Alegre dos Parecis,Urbana,Pública,0.0,60.0,40.0,0.0
