Fornecedor;idproduto;Nome do produto;Tipo de produto;Código de barras;Código interno;Agrupador;Imagem;Disponível;Url
Armazem Santa Maria;8c57ca88-41b3-4b26-9991-b42eb5a52564;LUZ NOTURNA EMPALUX 7W BOLA BASQUETE;Simples;7896619403225;7896619403225|10211;10211;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/8c57ca88-41b3-4b26-9991-b42eb5a52564+297175b4-3f9a-4e4a-aff0-92d2beddb9c2
Armazem Santa Maria;985eae5b-8531-430c-bdd2-bba9659e38ba;IOG CANTO MINAS BITS MORANGO 130G;Simples;7896629642294;7896629642294|34860;34860;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/985eae5b-8531-430c-bdd2-bba9659e38ba+eb88b6e5-52da-4464-af38-e745791f2734
Armazem Santa Maria;8339d8e4-be57-494e-8e8e-158eb0931f5c;IOG CANTO DE MINAS BITS CHOCOBALL 130G;Simples;7896629642386;7896629642386|38085;38085;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/8339d8e4-be57-494e-8e8e-158eb0931f5c+6d40e3fe-8e8d-4b30-aa53-64710bb28ee4
Armazem Santa Maria;7fe96a4a-0af7-4075-b890-8b7958959609;DESENTUP PIA FORSAN BORRACHA;Simples;7896634900938;7896634900938|26401;26401;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/7fe96a4a-0af7-4075-b890-8b7958959609+00ec0dd8-ae2e-47fa-9349-a5edcf36c6fa
Armazem Santa Maria;e5294fea-0b6f-48bc-a125-b735b18dbac8;BORRACHA SILICONE PAN PRESSAO 4,5L;Simples;7896634905360;7896634905360|25982;25982;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/e5294fea-0b6f-48bc-a125-b735b18dbac8+a5813852-7842-477c-b0db-bbcba732096d
Armazem Santa Maria;05b98b99-250c-4f78-acc6-bc08dd977b64;PRATO LAMINADO PRATA N.10;Simples;7896641309847;7896641309847|17880;17880;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/05b98b99-250c-4f78-acc6-bc08dd977b64+e3c62a67-635d-423b-9cd1-361375bdeb40
Armazem Santa Maria;4b500137-7495-4716-92e8-02c45599eec3;PAPEL PRESENTE COUCHE 50X60;Simples;7896647013083;7896647013083|17996;17996;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/4b500137-7495-4716-92e8-02c45599eec3+de34a347-bf7c-4f67-9053-646f887d29fe
Armazem Santa Maria;c0bb643d-d37f-48f4-8f24-c0893250687c;SUPORTE TV LCD FORTE UNIV 10A71 GN20B;Simples;7896689112645;7896689112645|38295;38295;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/c0bb643d-d37f-48f4-8f24-c0893250687c+dbc73e67-eb18-4451-b830-b368579c53fb
Armazem Santa Maria;b3990fc4-729c-4c2f-92cf-8f3afca9a910;SACO P LIXO CASAFORT ALMOF PRT 50L;Simples;7896749351311;7896749351311|34424;34424;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/b3990fc4-729c-4c2f-92cf-8f3afca9a910+eda8b6a3-d1b8-43f0-82b8-f0df0886daa9
Armazem Santa Maria;4f7a510a-ac3a-4126-89f0-571720396501;LIXA PEDICURE MARILU POP;Simples;7896818241673;7896818241673|32965;32965;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/4f7a510a-ac3a-4126-89f0-571720396501+f0b2d67b-21eb-426c-a4fa-0973f14ff698
